,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
1283,Konstantinos Tsakalidis,Greece,"Konstantinos Tsakalidis (1986) is a freelance photojournalist based in Thessaloniki, Greece. He graduated from the Department of Informatics of Technological Educational Institute of Thessaloniki and from the Photographic Center Stereosis. Since 2013, Tsakalidis has documented issues related to the Greek crisis, including the 2015 Greek bailout referendum. In 2015-2016, he documented the route of thousands of refugees from the islands of the eastern Aegean Sea to central Europe through the Balkan countries, as well as their life in the improvised camp of Idomeni at the Greek – North Macedonia borders. In August 2021, he was assigned by Bloomberg News to cover the wildfires in Athens and Evia island. Tsakalidis is currently a co-founder member of the collective Greek photo agency SOOC Images and is a contributor for Bloomberg News in Northern Greece, covering social and political issues with a focus on Greece, Eastern Europe and Turkey.
  World Press Photo Involvement:
2022 World Press Photo Contest winner Konstantinos Tsakalidis on Social Media:
Instagram: @tsakalidis_k Portrait credit: Angelos Zymaras / Stereosis","{'Konstantinos Tsakalidis', 'Angelos Zymaras / Stereosis'}",2,"{'the Department of Informatics of Technological Educational Institute of Thessaloniki', 'Bloomberg News', 'Thessaloniki', 'Tsakalidis', 'World Press Photo Involvement', 'the Photographic Center Stereosis', 'Idomeni', '@tsakalidis_k Portrait', 'Social Media'}",9,"{'Greece', 'Athens', 'Turkey', 'Evia'}",4
1284,Kosuke Okahara,Japan,"Kosuke Okahara (1980) is a documentary photographer based in Kyoto, Japan. Having grown up in Tokyo, Okahara started his career as a photographer after graduating from Waseda University, Tokyo, with a degree in education. In 2004, he began pursuing stories based on ‘Ibasyo,’ which, in Japanese, refers to the physical and emotional space in which one can exist – winning the W.Eugene Smith Fellowship in 2010 for the long-term project, ‘Ibasyo,’ about Japanese girls who self-harm. He has received several other awards and grants including Getty Images Grants for Editorial Photography, Prix Kodak, and The Pierre & Alexandra Boulat Grant. Okahara is represented by Polka Galerie, Paris and Only Photography, Berlin. His work has been exhibited in various venues including museums, galleries and international photo festivals, such as Kunsthal in Rotterdam, Deichtorhallen in Hamburg, Musée du Quai Branly – Jacques Chirac in Paris, C/O Berlin, Tokyo Photographic Art Museums, Paris Photo, AIPAD, and Kyotographie in Kyoto. He has published six monographs and several art books. In 2020, as a return to his community where he grew up, he started organizing PITCH GRANT, an annual grant for lens-based emerging artists in which artists present their works in front of audiences and audiences vote for the 2 winning projects.
  World Press Photo Involvement:
2022 World Press Photo Contest winner
2020 Joop Swart Masterclass nominator
2009 Joop Swart Masterclass participant
6x6 Global Talent Program nominator Kosuke Okahara on Social Media:
Instagram: @kosukeokahara Portrait credit: Kapil Das","{'Kosuke Okahara', 'the W.Eugene Smith Fellowship', 'Joop Swart Masterclass', 'Polka Galerie', '@kosukeokahara Portrait', 'Kapil Das', 'Ibasyo', 'Jacques Chirac'}",8,"{'Rotterdam, Deichtorhallen', 'Global Talent Program', 'Getty Images Grants for Editorial Photography', 'C/O Berlin', 'World Press Photo Involvement', 'Social Media', 'Waseda University', 'Prix Kodak', 'AIPAD', 'Kyotographie', 'Only Photography', 'The Pierre & Alexandra Boulat Grant', 'Paris Photo'}",13,"{'Berlin', 'Okahara', 'Kyoto', 'Japan', 'Paris', 'Tokyo', 'Hamburg'}",7
1285,Koyo Kouoh,Cameroon,"Cameroonian by birth and Senegalese at heart, Koyo Kouoh is an exhibition maker and cultural producer whose curatorial work revolves around the redefinition of the contemporary African persona. She is the founding artistic director of RAW Material Company, a center for art, knowledge and society in Dakar. Kouoh served as curatorial advisor to Documenta 12 in 2007, and Documenta 13 in 2012. From 2000 to 2004, she collaborated with the Dakar Biennale, and in 2001 and 2003, she co-curated the African Photography Biennial. Her most recent projects include Chronicle of a Revolt: Photographs of a Season of Protest, at Raw Material Company and Haus der Kulturen der Welt in 2012, Condition Report on Building Art Institutions in Africa, a collection of essays resulting from the eponymous symposium held in Dakar in January 2012, and Word!Word?Word! Issa Samb and the Undecipherable Form, the first monograph dedicated to the work of Senegalese artist Issa Samb. In addition the theoretical and exhibition program at Raw Material Company, Kouoh curates exhibitions and organises discoursive programs worldwide. Under the auspices of the London-based company Art Africa Ltd, she is responsible for the artistic selection and the theoretical programme of 1:54 Contemporary African Art Fair, inaugurated in London in October 2013. She lives and works in Dakar.","{'Koyo Kouoh', 'Dakar', 'Haus', 'Kouoh', 'Kulturen', 'Welt', 'Issa Samb', 'the Dakar Biennale'}",8,"{'RAW Material Company', 'Art Africa Ltd', 'Kouoh', 'the African Photography Biennial', 'Raw Material Company', 'Documenta 12', 'Word!Word?Word'}",7,"{'Protest', 'London'}",2
1286,Kraipit Phanvut,USA,,set(),0,set(),0,set(),0
1287,Krisanne Johnson,USA,,set(),0,set(),0,set(),0
1288,Kristen Ashburn,USA,,set(),0,set(),0,set(),0
1289,Kristina Kormilitsyna,Russia,"Born on 29 Dec 1984 in Moscow region, she studied journalism at the Russian State Social University, and then studied photojournalism at Moscow State University. She worked for seven years as a print journalist in regional newspaper before moving to staff photographer at the Federation of hockey of Russia. She began working at the Kommersant newspaper in 2015. She was the winner of the photo contest ""Best of Russia 2015"", and placed second in the photography contest of the Orthodox ""Faith and The Word"" in 2016 for her film about the conflict between the republics of Nagorno Karabakh and Azerbaijan. She took part in a media project in May 2016 on the deterioration of Russian-Turkish relations after the downed plane. In December 2016, she covered the Cuban people's mourning events related to the farewell of their national leader, Fidel Castro.","{'Fidel Castro', 'Nagorno Karabakh'}",2,"{'Kommersant', 'Moscow State University'}",2,"{'Moscow', 'the Russian State Social University', 'Russia', 'Azerbaijan'}",4
1290,Krystle Wright,Australia,"Krystle Wright is an Australian photographer and director who specializes in visual storytelling in extreme environments. 

Represented by The POOL Collective, Krystle Wright consistently brings attention to the demanding adventures and landscapes that the public is rarely fortunate enough to be exposed to.  Her images have been published in National Geographic, Outside, The Times, GQ, Red Bulletin, and the Huffington Post, and she often speaks at worldwide photography and film festivals.

Krystle Wright studied photojournalism at the Queensland College of Art in Brisbane, Australia.


Krystle Wright on Social Media:
Instagram: @krystlejwright Portrait credit: Ben Moon","{'Krystle Wright', 'Ben Moon'}",2,"{'The POOL Collective', 'the Queensland College of Art', 'Times', 'National Geographic', 'GQ', 'the Huffington Post', '@krystlejwright', 'Social Media'}",8,"{'Red Bulletin', 'Australia', 'Brisbane'}",3
1291,Krzysztof Niemiec,Poland,,set(),0,set(),0,set(),0
1292,Ksenia Diodorova,Russia,"Ksenia Diodorova is the co-founder and art director of the multimedia storytelling bureau Gonzo Design since 2006. Having a background in communicative design and visual anthropology, Diodorova is using research together with branding tools and conceptual thinking in her work field. The mixture of artistic and documentary expression means helps the Gonzo team to discover human rights topics in an aesthetic and delicate way, to reach deep engagement of the audience and provoke open dialogue on social and cultural issues. Gonzo projects are often cross-platform and exist in different formats, both digital and physical, like books, exhibitions or installations. Image credit: Alexander Smirnov","{'Alexander Smirnov', 'Diodorova', 'Ksenia Diodorova'}",3,"{'the multimedia storytelling bureau', 'Gonzo'}",2,set(),0
1293,Kuba Kaminski,Poland,"Kuba Kaminski (26) was born in Poland and holds a degree in photography from Lodz Film School. In 2004, he started work as a professional photographer for the Zycie daily and since 2005 has been a staff photographer for Rzeczpospolita. Kuba has been on assignments in Europe, Asia, US and South America. He is also involved in his own documentary projects, such as The Sobering Chamber, about post-communist facilities for alcoholics. Salaryman, concerning overworked Japanese corporate workers, won him first prize in the National Geographic Photography Contest in Poland in 2009.","{'Kuba Kaminski', 'Kuba', 'Salaryman'}",3,"{'Lodz Film School', 'The Sobering Chamber', 'the National Geographic Photography Contest', 'Rzeczpospolita'}",4,"{'Poland', 'US'}",2
1294,Kuninori Takahashi,Japan,,set(),0,set(),0,set(),0
1295,Kunrong Chen,China,"Kunrong Chen (b. 1986) is a self-taught photographer who learned about photography while studying pedagogy at South China Agricultural University. After graduation, he began working at Southern Metropolis Daily.",{'Kunrong Chen'},1,{'South China Agricultural University'},1,set(),0
1296,Kylie Boltin,Australia,"Kylie Boltin is a Walkley award winning producer/ journalist and commissioning editor for online documentaries at SBS, Australia’s multi-cultural and multichannel broadcaster. As well as directing award-winning documentaries for televison, Kylie Boltin has produced and commissioned interactive projects that have been selected at festivals such as IDFA, Sheffield Doc/Fest and SXSW. These projects have garnered more than fifty major awards and nominations including from the Webbys and UN Media Awards. Kylie has a PhD in Creative Media and a Master of Arts in Creative Writing. She has taught writing and film at universities in Australia and Dartmouth College, USA. Published across multiple platforms, Kylie has been awarded writing fellowships from the Norman Mailer Center, the Vermont Studio Center and Varuna, the National Writers House. Kylie is a 2019 Our Watch Fellowship recipient and currently lives in Sydney, Australia. Former Jury member: 2016 World Press Photo Multimedia Contest. Photo credit: Kylie Boltin by © Noel Mclaughlin","{'Kylie', 'Noel Mclaughlin', 'Kylie Boltin', 'Sheffield Doc/Fest'}",4,"{'Varuna', 'IDFA', 'SXSW', 'UN Media Awards', 'Watch Fellowship', 'the National Writers House', 'the Norman Mailer Center', 'Dartmouth College', 'Jury'}",9,"{'Australia', 'USA', 'Sydney'}",3
1297,Kyoichi Sawada,Japan,,set(),0,set(),0,set(),0
1298,Laerke Posselt,Denmark,"Laerke Posselt was born in Denmark in 1984. She grew up on the west coast, and started photographing the natural world around her. After high school, she spent a year doing portraiture and experimenting in the dark room, then moved to Copenhagen, where she was admitted to Fatamorgana, the Danish School of Art and Documentary Photography. After Fatamorgana, Posselt studied film and media at the University of Copenhagen, and at the age of 22, she started working as a freelance photographer, doing commercial jobs mainly for Danish magazines and record companies. Wanting to focus more on social issues and the human condition, and wanting to learn more, Posselt began studying photojournalism at the Danish School of Media and Journalism, in Aarhus, in 2008. As part of her education, she underwent an 18-month internship at the Danish daily, Politiken. Posselt is currently in her final semester at the Danish School of Media and Journalism, and will graduate in autumn 2012.","{'Posselt', 'Fatamorgana', 'Laerke Posselt'}",3,"{'the Danish School of Art and Documentary Photography', 'Copenhagen', 'the University of Copenhagen'}",3,"{'Politiken', 'Denmark'}",2
